rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta0,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split0_train_score
62,-0.33277627626110595,0.0,-0.9984387733973541,0.0,4.880677223205566,0.0,0.01723456382751465,0.0,0.065,0.0135,0.15,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33277627626110595,-0.9984387733973541
63,-0.332776994062129,0.0,-0.9984318922697849,0.0,4.201079607009888,0.0,0.013058900833129883,0.0,0.065,0.014,0.15,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.332776994062129,-0.9984318922697849
64,-0.3327789524744003,0.0,-0.9984190675693515,0.0,3.3910768032073975,0.0,0.012872934341430664,0.0,0.065,0.015,0.15,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.3327789524744003,-0.9984190675693515
65,-0.33284506739333763,0.0,-0.9984043608197083,0.0,3.3546359539031982,0.0,0.01320195198059082,0.0,0.07,0.014,0.15,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33284506739333763,-0.9984043608197083
66,-0.3328450708087603,0.0,-0.9984114174804364,0.0,3.3715553283691406,0.0,0.01218724250793457,0.0,0.07,0.0135,0.15,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.3328450708087603,-0.9984114174804364
67,-0.33284610334757203,0.0,-0.9984346361479769,0.0,4.132774114608765,0.0,0.012259721755981445,0.0,0.07,0.012,0.15,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33284610334757203,-0.9984346361479769
68,-0.33284790804842923,0.0,-0.9984515106985651,0.0,3.357750654220581,0.0,0.012255191802978516,0.0,0.07,0.011,0.15,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33284790804842923,-0.9984515106985651
69,-0.3329202803567103,0.0,-0.998384053245915,0.0,3.41109299659729,0.0,0.012507915496826172,0.0,0.075,0.015,0.15,elasticnet,"{'model__alpha': 0.075, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.3329202803567103,-0.998384053245915
70,-0.33292120937858954,0.0,-0.9983975015570311,0.0,4.895618677139282,0.0,0.012534379959106445,0.0,0.075,0.014,0.15,elasticnet,"{'model__alpha': 0.075, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33292120937858954,-0.9983975015570311
71,-0.33292192033384493,0.0,-0.9984048001677112,0.0,4.080678701400757,0.0,0.02404618263244629,0.0,0.075,0.0135,0.15,elasticnet,"{'model__alpha': 0.075, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33292192033384493,-0.9984048001677112
72,-0.33292834399749416,0.0,-0.9984457825406253,0.0,3.351088762283325,0.0,0.012565851211547852,0.0,0.075,0.011,0.15,elasticnet,"{'model__alpha': 0.075, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33292834399749416,-0.9984457825406253
73,-0.33300370502215737,0.0,-0.9983967564508454,0.0,4.5403077602386475,0.0,0.033623456954956055,0.0,0.08,0.015,0.15,elasticnet,"{'model__alpha': 0.08, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33300370502215737,-0.9983967564508454
74,-0.3330061669251803,0.0,-0.9984109339264964,0.0,3.349588394165039,0.0,0.012537956237792969,0.0,0.08,0.014,0.15,elasticnet,"{'model__alpha': 0.08, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.3330061669251803,-0.9984109339264964
75,-0.33300766523805003,0.0,-0.99841862593813,0.0,3.4044289588928223,0.0,0.012647867202758789,0.0,0.08,0.0135,0.15,elasticnet,"{'model__alpha': 0.08, 'model__eta0': 0.0135, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33300766523805003,-0.99841862593813
76,-0.33322314481362963,0.0,-0.9986297534010008,0.0,4.48667049407959,0.0,0.018030881881713867,0.0,0.065,0.015,0.2,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.33322314481362963,-0.9986297534010008
77,-0.33322716956952486,0.0,-0.9986440344940706,0.0,3.3474488258361816,0.0,0.012408971786499023,0.0,0.065,0.014,0.2,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.014, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.33322716956952486,-0.9986440344940706
78,-0.33322922116195813,0.0,-0.9986514031464473,0.0,3.4754533767700195,0.0,0.012836933135986328,0.0,0.065,0.0135,0.2,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.0135, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.33322922116195813,-0.9986514031464473
79,-0.3332352128076135,0.0,-0.9986733154495343,0.0,4.449010848999023,0.0,0.018520355224609375,0.0,0.065,0.012,0.2,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.012, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.3332352128076135,-0.9986733154495343
80,-0.3332390553431458,0.0,-0.9986874351425028,0.0,3.366058349609375,0.0,0.016425132751464844,0.0,0.065,0.011,0.2,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.011, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.3332390553431458,-0.9986874351425028
81,-0.3333586730673509,0.0,-0.9986924982969403,0.0,3.3629884719848633,0.0,0.012428522109985352,0.0,0.07,0.015,0.2,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'}",-0.3333586730673509,-0.9986924982969403
82,-0.3337504709103451,0.0,-0.9989483060274202,0.0,3.436882734298706,0.0,0.012724161148071289,0.0,0.065,0.011,0.15,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.3337504709103451,-0.9989483060274202
83,-0.33375267784644447,0.0,-0.9989468018210934,0.0,4.383262634277344,0.0,0.019067049026489258,0.0,0.07,0.015,0.15,elasticnet,"{'model__alpha': 0.07, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33375267784644447,-0.9989468018210934
